"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"851","I swear it do <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/HxwUUMNelw",0,FALSE,FALSE,"806243474982993922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:06:38 +0000 2016",NA,NA,"en",3,FALSE,"California Raised <U+2600><U+FE0F>","558199593","Mogul In The Making... Morehouse College '19",TRUE,"Thu Apr 19 22:37:29 +0000 2012",2581,585,1603,FALSE,NA,"Tahj<ed><U+00A0><U+00BD><ed><U+00B4><U+008B><ed><U+00A0><U+00BD><ed><U+00B4><U+008C>","Atlantic Time (Canada)","en",-14400,387,"Tvhj___","US","United States","city","Atlanta, GA",NA,NA,33.7671945,-84.433106,NA,NA,"http://fb.me/YIfe0Awv","https://t.co/HxwUUMNelw"
"910","sum my dog would do https://t.co/MgIXYFL2DB",0,FALSE,FALSE,"806243505559445508",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:06:45 +0000 2016",NA,NA,"en",0,FALSE,NA,"3291688346",NA,TRUE,"Sat Jul 25 03:02:45 +0000 2015",7937,599,6661,FALSE,NA,"kris <U+2B50><U+FE0F> ..",NA,"en",NA,424,"cheramie_kristy","US","United States","admin","Louisiana, USA",NA,NA,30.937336,-91.4010085,NA,NA,"http://bit.ly/2g88dzj","https://t.co/MgIXYFL2DB"
"912","Tiny Pave dog bones rose gold and yellow gold! <ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BC><ed><U+00BD><U+0096> available @artistsandfleas @chelseamarketny… https://t.co/MfNFrgnRSz",0,FALSE,FALSE,"806243506213810176",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Tue Dec 06 21:06:45 +0000 2016",NA,NA,"en",23,FALSE,"New york","325596323","2 bothers making finest jewelry in New York City!!",TRUE,"Tue Jun 28 15:16:04 +0000 2011",1605,86,74,FALSE,"http://www.jewelsbyatlantis.com","Arsham Bekarian",NA,"en",NA,220,"JewelByAtlantis","US","United States","city","Manhattan, NY",NA,NA,40.780709,-73.9685415,40.7430758,-74.0073187,"http://www.doglost.co.uk/dog-blog.php?dogId=108425#.WEcj_OaW7dk.twitter","https://t.co/MfNFrgnRSz"
"1006","@Have_A_FootLong <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/EIoXqvNFB1",0,FALSE,FALSE,"806243568687968256","Have_A_FootLong","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:00 +0000 2016",NA,"849892063","und",3,FALSE,"West Virginia","79612091","ALC <U+271D>• Thick Thighs, Sass, Ass & Eyes<ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> • WV born & raised • College Grad '15 • Graphic Technology <U+2728> • #Gemini <U+264A>",TRUE,"Sun Oct 04 01:21:47 +0000 2009",18094,1315,3869,FALSE,"http://snapchat.com/add/nicobaby94","Nico<ed><U+00A0><U+00BD><ed><U+00B1><U+00B8><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BE><ed><U+00B5><U+0080>","Central Time (US & Canada)","en",-21600,2066,"Lil_Nigglet_","US","United States","city","Bridgeport, WV",NA,NA,39.2973805,-80.2436445,NA,NA,"http://fb.me/1JIIthoB2","https://t.co/EIoXqvNFB1"
"1016","My dog is trying to eat food and bark at the same time? Lol wtf you okay?",0,FALSE,FALSE,"806243575071522816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:07:02 +0000 2016",NA,NA,"en",6,FALSE,"Meridian, ID","2923362416","Peighton Russell Photography                                    
sc: peightonruss23
insta: peighton_russ",TRUE,"Tue Dec 09 02:49:12 +0000 2014",13561,457,42883,FALSE,"http://pruss1997.wix.com/photography-sports","Peight","Pacific Time (US & Canada)","en",-28800,249,"peight_russ","US","United States","city","Meridian, ID",NA,NA,43.6120725,-116.399697,NA,NA,NA,NA
"1024","Aye. Let me work 4 u dog https://t.co/jOmLh2mJhD",0,FALSE,FALSE,"806243579509161984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:03 +0000 2016",NA,NA,"en",11,FALSE,"CA.","337993942","p<U+03BA>a",TRUE,"Mon Jul 18 22:22:56 +0000 2011",41770,1472,33819,FALSE,NA,"Hector Ruvalcaba","Pacific Time (US & Canada)","en",-28800,982,"hecty__","US","United States","city","Fullerton, CA",NA,NA,33.8893475,-117.9248925,NA,NA,"http://tinyurl.com/zstmscc","https://t.co/jOmLh2mJhD"
"1041","There was the biggest, fluffiness doggo at work yesterday and I couldn't pet him https://t.co/F585j8LSkL",0,FALSE,FALSE,"806243597729366016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:07 +0000 2016",NA,NA,"en",1,FALSE,"art skool ","3222569869","basquiats side hoe <ed><U+00A0><U+00BC><ed><U+00BC><U+00B1> plant powered",TRUE,"Thu May 21 17:42:58 +0000 2015",5111,222,4919,FALSE,NA,"rookie <U+219E>","Pacific Time (US & Canada)","en",-28800,227,"rookulele","US","United States","city","Pickerington, OH",NA,NA,39.8902325,-82.7410435,NA,NA,"https://wn.nr/sSqJkL","https://t.co/F585j8LSkL"
"1093","5 Pet Safety Tips For The Holidays - Purina®: https://t.co/t82qUUoZV4",0,FALSE,FALSE,"806243625336066048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:07:14 +0000 2016",NA,NA,"en",21,FALSE,"Anaheim, CA","194722992","I'm a 68 yr old SGA lover & pagan. Most of all love Paul McGillion, Doctor Who and NCIS. My fav author is the late great Andre Norton.",TRUE,"Fri Sep 24 21:05:19 +0000 2010",33168,282,8057,FALSE,NA,"Linda Shadle","Pacific Time (US & Canada)","en",-28800,588,"AlannaBeckett","US","United States","city","Anaheim, CA",NA,NA,33.842863,-117.851089,NA,NA,"http://fb.me/1CDtd7Fk3","https://t.co/t82qUUoZV4"
"1133","@WillCleveland13 Is a hot dog a sandwich?",0,FALSE,FALSE,"806243655841255424","WillCleveland13","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:21 +0000 2016","806241886440714240","1176527791","en",8,FALSE,"Probably on a golf course. ","49904499","Dad joke specialist.",TRUE,"Tue Jun 23 06:18:25 +0000 2009",11598,211,3721,FALSE,NA,"(((tfernaays)))","Eastern Time (US & Canada)","en",-18000,1383,"tfernaays","US","United States","city","Perry, NY",NA,NA,42.703316,-78.014325,NA,NA,NA,NA
"1171","He's prolly gonna play well cuz our coaches are dog shit https://t.co/chtKdvb99x",0,FALSE,FALSE,"806243689802645504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:29 +0000 2016",NA,NA,"en",37,FALSE,"Columbus, Ohio","1092246614","And then to me I said: Gov remind yaself, nobody's built like you...you designed ya self Surprisingly, im the gay one in the family... #EstepSystem #HOMAGEboyz",TRUE,"Tue Jan 15 14:28:59 +0000 2013",159824,1078,26010,FALSE,"http://gnrlspcfc.bandcamp.com","<ed><U+00A0><U+00BD><ed><U+00B7><U+00A3>EXPECTO PATRONUM","Atlantic Time (Canada)","en",-14400,1068,"HomoHulk","US","United States","city","Columbus, OH",NA,NA,39.9946835,-82.985772,NA,NA,"http://www.petitems2day.info/US/landing-static/twitter24/?id=http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337889868&item=122257649986&vectorid=229466&lgeo=1","https://t.co/chtKdvb99x"
"1338","Is this a dog ???i wouldn't talk back to him https://t.co/MXbKRnATbB",0,FALSE,FALSE,"806243805250912257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:07:57 +0000 2016",NA,NA,"en",3,FALSE,"Columbus, OH","1932079878","DTB™",TRUE,"Thu Oct 03 21:26:39 +0000 2013",3874,968,5760,FALSE,NA,"Ï$$Ã","Eastern Time (US & Canada)","en",-18000,563,"Issa_614","US","United States","city","Columbus, OH",NA,NA,39.9946835,-82.985772,NA,NA,"https://twitter.com/mzzystar/status/776132596266774528","https://t.co/MXbKRnATbB"
"1481","Your dog looks like herpes had 4 legs never say that again https://t.co/m3ji9tlCPR",0,FALSE,FALSE,"806243910175559687",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:08:22 +0000 2016",NA,NA,"en",3,FALSE,"Hidden Leaf Village","2216346974","T.V.P. GANG gratata",TRUE,"Tue Nov 26 20:11:31 +0000 2013",8494,317,2656,FALSE,NA,"Tanner",NA,"en",NA,250,"BIGHEAD_2000","US","United States","city","Waverly, MI",NA,NA,42.7331245,-84.6613215,NA,NA,"https://twitter.com/justadorabie/status/806234349536473089","https://t.co/m3ji9tlCPR"
"1554","@spiffy_martinez @maciedeaton well this dog will love you all day but as soon as you let her outside she will EAT your fence and run away!!!",0,FALSE,FALSE,"806243960226254850","spiffy_martinez","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:08:34 +0000 2016","806243528061964288","2548914396","en",0,FALSE,"probably barn","739617821445914624","GHS<ed><U+00A0><U+00BD><ed><U+00B2><U+009B> cow butts are the best butts<ed><U+00A0><U+00BD><ed><U+00B0><U+00AE>",TRUE,"Mon Jun 06 00:40:04 +0000 2016",549,123,205,FALSE,NA,"Raynee",NA,"en",NA,138,"_rayneexx","US","United States","city","Rowlett, TX",NA,NA,32.924258,-96.5444425,NA,NA,NA,NA
"1569","RE FUCKING TWEET! https://t.co/DFvCoESC6p",0,FALSE,FALSE,"806243972246929408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:08:36 +0000 2016",NA,NA,"en",13,FALSE,"Los Angeles, CA","1641600536","#Brofam #RifB #FuckDonaldTrump",TRUE,"Fri Aug 02 23:51:39 +0000 2013",32323,1618,15983,FALSE,"http://restisforbillionaires.com","Ray","Mountain Time (US & Canada)","en",-25200,911,"DOGAMUSPRIME","US","United States","city","Los Angeles, CA",NA,NA,34.0207895,-118.4119065,NA,NA,"https://www.youtube.com/watch?v=FIRT7lf8byw","https://t.co/DFvCoESC6p"
"1623","Story of my life<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/HvTxRTPOZg",0,FALSE,FALSE,"806244005881090048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:08:44 +0000 2016",NA,NA,"en",27,FALSE,"LIT TEXAS","1680891876","PÜBLIÇ FIGÜRE",TRUE,"Sun Aug 18 15:01:48 +0000 2013",20449,2117,25640,FALSE,NA,"Darius","Pacific Time (US & Canada)","en",-28800,1948,"dariusherron1","US","United States","city","Houston, TX",NA,NA,29.838495,-95.4464865,NA,NA,"http://viid.me/qekuMv","https://t.co/HvTxRTPOZg"
"1676","I feel like the Grinch's dog with all these finals coming up.. https://t.co/V6VnikuhfZ",0,FALSE,FALSE,"806244039578112000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:08:52 +0000 2016",NA,NA,"en",1,FALSE,"Oakland, CA","87851316","<U+2601> 20ish. Twitch Mod. College Student. |-/ <U+2601>
      -=+=-[ rest peacefully mom 1/20/2016 ]-=+=-",TRUE,"Fri Nov 06 02:48:52 +0000 2009",690,233,4119,FALSE,NA,"Caylan","Pacific Time (US & Canada)","en",-28800,653,"Cayyylannn","US","United States","city","Oakland, CA",NA,NA,37.791994,-122.2286855,NA,NA,NA,NA
"1711","@_itstaybabe_ https://t.co/4kcsJERuyG",0,FALSE,FALSE,"806244066736427008","_itstaybabe_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:08:59 +0000 2016",NA,"1026757976","und",9,FALSE,"Lindsay, Ok","3277084614","junior @ LHS • snap hartley_duke20 • if u need me i'm prob hitting dingers •",TRUE,"Sun Jul 12 05:21:34 +0000 2015",43271,884,60774,FALSE,NA,"duke",NA,"en",NA,723,"hartley_claire1","US","United States","city","Lindsay, OK",NA,NA,34.8379835,-97.6099315,NA,NA,"https://twitter.com/bruce_cares/status/806241783298584577","https://t.co/4kcsJERuyG"
"1824","I really just want to know what my dog does all day while nobody is home",0,FALSE,FALSE,"806244122025664513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:12 +0000 2016",NA,NA,"en",5,FALSE,"Landen<U+2764><U+FE0F>","478079459","Diva is female version of a hustler #TAMU21",TRUE,"Sun Jan 29 21:53:00 +0000 2012",19759,1218,14875,FALSE,NA,"chavez",NA,"en",NA,1051,"ThaChesney","US","United States","admin","Texas, USA",NA,NA,31.1688935,-100.0768885,NA,NA,NA,NA
"1825","My brother screamed really aggressively for my dog just now that the rubber band from his braces broke oh my god",0,FALSE,FALSE,"806244122260635648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:12 +0000 2016",NA,NA,"en",4,FALSE,NA,"440883708","beginners guide to the uneducated and uncultured",TRUE,"Mon Dec 19 14:25:48 +0000 2011",36655,804,24022,FALSE,"http://Nostalgia.com","jenna","London","en",0,1508,"Jplusk97","US","United States","city","Crystal Lake, IL",NA,NA,42.2481325,-88.3157525,NA,NA,NA,NA
"1884","@anna_salerno_ @Emma__Storey I'm no expert in shit, but there is a possibility that it is in fact dog shit.",0,FALSE,FALSE,"806244161682862080","anna_salerno_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:22 +0000 2016","806242921670410242","800820410","en",0,FALSE,"Clinton, New York","883449636","Brockport '20",TRUE,"Tue Oct 16 01:39:56 +0000 2012",2875,443,3092,FALSE,NA,"Matt Martini","Atlantic Time (Canada)","en",-14400,313,"Matt_18_Martini","US","United States","city","Brockport, NY",NA,NA,43.209482,-77.943531,NA,NA,NA,NA
"1885","who has a puppy I can rent for my birthday?! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",0,FALSE,FALSE,"806244161401798656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:22 +0000 2016",NA,NA,"en",0,FALSE,NA,"48729417","Live. Love. Learn. #basshead #forestfam",TRUE,"Fri Jun 19 15:08:06 +0000 2009",2631,317,1982,FALSE,NA,"Megan","Quito","en",-18000,306,"megannmary","US","United States","city","Grand Rapids, MI",NA,NA,42.9564115,-85.6411415,NA,NA,NA,NA
"1947","@MBurno happy birthday dog.! https://t.co/t6J12oYn7P",0,FALSE,FALSE,"806244202120179713","MBurno","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:31 +0000 2016",NA,"463394961","en",0,FALSE,NA,"2236976833","chap",TRUE,"Mon Dec 09 03:59:36 +0000 2013",925,442,6387,FALSE,NA,"jacob treger",NA,"en",NA,199,"jacob_treger","US","United States","city","Scottsdale, AZ",NA,NA,33.63934,-111.8583985,NA,NA,NA,NA
"2071","@CuteOverloads @kayleighebert this....this is the dog",0,FALSE,FALSE,"806244285381308416","CuteOverloads","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:51 +0000 2016","806227079440306177","70009161","en",7,FALSE,"Louisiana, USA","2332605703","Whatever you do, work at it with all your heart, as working for the Lord Colossians 3:23 in love with Kayleigh Michelle Hebert <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> she's ma best friend",TRUE,"Sat Feb 08 00:27:53 +0000 2014",6889,901,7050,FALSE,"http://reduckz.com","Ryan Meaux",NA,"en",NA,1039,"Ryan_Mo6","US","United States","admin","Louisiana, USA",NA,NA,30.937336,-91.4010085,NA,NA,NA,NA
"2077","""If I had a small fluffy dog &amp; it died... I'd make a small hand towel out of him"" <ed><U+00A0><U+00BD><ed><U+00B2><U+0080>",0,FALSE,FALSE,"806244288766087172",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:09:52 +0000 2016",NA,NA,"en",1,FALSE,NA,"4424180652","senior '17 | sc: haileyu1",TRUE,"Tue Dec 01 21:07:26 +0000 2015",5251,516,7073,FALSE,NA,"hailey",NA,"en",NA,412,"haileyuribe_","US","United States","city","Poteet, TX",NA,NA,29.037953,-98.574562,NA,NA,NA,NA
"2095","@PlymouthDawg @flinds @thedrunkpenguin hush puppy????",0,FALSE,FALSE,"806244300459753473","PlymouthDawg","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:09:55 +0000 2016","806241866870034432","447630852","en",149,FALSE,"Cleveland,oh","160677978","Worked for City of Cleveland 31 yrs, retired. Into all Ohio sports, Indians, Browns, Cavs and Buckeyes. Competitive runner.",TRUE,"Mon Jun 28 21:17:39 +0000 2010",225412,4115,220142,FALSE,NA,"Laura","Eastern Time (US & Canada)","en",-18000,2460,"magee333","US","United States","city","Cleveland, OH",NA,NA,41.4959395,-81.705467,NA,NA,NA,NA
"2101","#Car #Crash #victim hit by #truck loses #dog #pet in crash, finds him two weeks later #reunited #HappyHolidays… https://t.co/R54HCmBa71",0,FALSE,TRUE,"806244301260865537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Dec 06 21:09:55 +0000 2016",NA,NA,"en",63,FALSE,"United States & United Kingdom","275055001","A professional association of like-minded #attorneys working to improve their communities while growing their practices through word-of-mouth #marketing.",TRUE,"Thu Mar 31 14:59:44 +0000 2011",2611,1483,2456,FALSE,"http://injuryboard.org","Injury Board","Eastern Time (US & Canada)","en",-18000,1949,"injuryboard","US","United States","admin","Florida, USA",NA,NA,27.698682,-83.804475,NA,NA,"https://goo.gl/fb/m14vrH","https://t.co/R54HCmBa71"
